sample	radius_um	neighbor_cell_type	observed_fraction	random_foci_fraction	observed_to_random_ratio	p_permutation	permutations	p_adj_bh_across_150_composition_tests
Geriatric	100	Pericytes and Smooth muscle cells	0.016048098	0.013727451	1.1690515	0.00049975012	2000	0.0011532695
Geriatric	100	Schwann and Neural/Glial cells	0.010657198	0.0097013861	1.0985233	0.0014992504	2000	0.0033071699
Geriatric	100	T cells	0.0071590804	0.0075561302	0.94745326	0.066966517	2000	0.10801051
Geriatric	100	Tenocytes	0.0090939812	0.0083621684	1.0875148	0.047476262	2000	0.079127103
Geriatric	150	B cells	0.013269669	0.010998182	1.206533	0.00049975012	2000	0.0011532695
Geriatric	150	Dendritic cells	0.046600305	0.040106118	1.1619251	0.00049975012	2000	0.0011532695
Geriatric	150	Endothelial cells	0.0049444283	0.0041768644	1.1837655	0.00049975012	2000	0.0011532695
Geriatric	150	Erythrocytes	0.0017802715	0.002061981	0.86337918	0.00099950025	2000	0.0022715915
Geriatric	150	FAPs	0.056261674	0.048468571	1.1607867	0.00049975012	2000	0.0011532695
Geriatric	150	Fusing Myocytes	0.1815736	0.144875	1.2533121	0.00049975012	2000	0.0011532695
Geriatric	150	Monocytes/Macrophages	0.19415958	0.15501234	1.2525427	0.00049975012	2000	0.0011532695
Geriatric	150	MuSCs	0.0099947965	0.0091302246	1.0946934	0.00049975012	2000	0.0011532695
Geriatric	150	Myonuclei	0.42979506	0.52904254	0.81240171	0.00049975012	2000	0.0011532695
Geriatric	150	NK cells	0.011789469	0.010680115	1.103871	0.00049975012	2000	0.0011532695
Geriatric	150	Neutrophils	0.0062721004	0.0059848558	1.0479952	0.029985007	2000	0.052299432
Geriatric	150	Pericytes and Smooth muscle cells	0.015917704	0.013781397	1.1550138	0.00049975012	2000	0.0011532695
Geriatric	150	Schwann and Neural/Glial cells	0.010764615	0.0097034676	1.1093575	0.00049975012	2000	0.0011532695
Geriatric	150	T cells	0.0077245804	0.0076351818	1.0117087	0.53123438	2000	0.62254029
Geriatric	150	Tenocytes	0.0091515537	0.0083430717	1.0969046	0.0044977511	2000	0.0093703148
